,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,Total known,Total unknown,Total,80-89,90+
09.03.2020,,,,,,,,,,,,,,
12.03.2020,0.0,0.0,0.0,1.0,0.0,11.0,28.0,160.0,,428.0,18.0,446.0,,
14.03.2020,0.0,0.0,0.0,0.0,6.0,14.0,33.0,154.0,,412.0,20.0,432.0,167.0,38.0
15.03.2020,0.0,0.0,0.0,3.0,3.0,15.0,41.0,150.0,,427.0,-37.0,390.0,172.0,43.0
16.03.2020,0.0,0.0,0.0,0.0,-1.0,3.0,5.0,24.0,,73.0,-1.0,72.0,33.0,9.0
17.03.2020,0.0,0.0,0.0,1.0,3.0,10.0,29.0,106.0,,306.0,0.0,306.0,124.0,33.0
18.03.2020,0.0,0.0,0.0,2.0,6.0,9.0,47.0,148.0,,387.0,0.0,387.0,144.0,31.0
19.03.2020,0.0,0.0,0.0,2.0,7.0,18.0,92.0,234.0,,657.0,0.0,657.0,248.0,56.0
20.03.2020,0.0,0.0,0.0,0.0,2.0,10.0,17.0,44.0,,152.0,1.0,153.0,66.0,13.0
21.03.2020,0.0,0.0,0.0,2.0,4.0,18.0,59.0,207.0,,570.0,0.0,570.0,216.0,64.0
22.03.2020,0.0,0.0,0.0,1.0,7.0,27.0,81.0,244.0,,695.0,0.0,695.0,281.0,54.0
23.03.2020,0.0,0.0,0.0,0.0,3.0,30.0,72.0,183.0,,554.0,0.0,554.0,217.0,49.0
24.03.2020,0.0,0.0,0.0,2.0,5.0,23.0,65.0,192.0,,523.0,0.0,523.0,198.0,38.0
25.03.2020,0.0,0.0,0.0,3.0,11.0,29.0,74.0,220.0,,616.0,-1.0,615.0,235.0,44.0
26.03.2020,0.0,0.0,0.0,0.0,10.0,23.0,81.0,223.0,,644.0,0.0,644.0,246.0,61.0
27.03.2020,0.0,0.0,0.0,1.0,5.0,32.0,112.0,257.0,,788.0,1.0,789.0,308.0,73.0
28.03.2020,0.0,0.0,1.0,0.0,4.0,39.0,98.0,307.0,,869.0,1.0,870.0,334.0,86.0
29.03.2020,0.0,0.0,0.0,2.0,5.0,26.0,102.0,239.0,,760.0,0.0,760.0,308.0,78.0
30.03.2020,0.0,0.0,1.0,0.0,8.0,29.0,89.0,250.0,,803.0,3.0,806.0,332.0,94.0
31.03.2020,0.0,0.0,0.0,5.0,3.0,40.0,109.0,268.0,,919.0,-2.0,917.0,382.0,112.0
01.04.2020,0.0,0.0,1.0,4.0,12.0,46.0,96.0,285.0,,915.0,-1.0,914.0,377.0,94.0
02.04.2020,0.0,0.0,3.0,0.0,6.0,24.0,81.0,187.0,,693.0,0.0,693.0,286.0,106.0
03.04.2020,1.0,0.0,0.0,1.0,4.0,27.0,72.0,216.0,,692.0,-1.0,691.0,275.0,96.0
04.04.2020,0.0,0.0,0.0,1.0,8.0,21.0,96.0,176.0,,587.0,0.0,587.0,224.0,61.0
05.04.2020,0.0,0.0,1.0,3.0,6.0,22.0,66.0,168.0,,553.0,0.0,553.0,226.0,61.0
06.04.2020,0.0,0.0,0.0,0.0,8.0,18.0,42.0,153.0,,479.0,0.0,479.0,202.0,56.0
07.04.2020,0.0,0.0,0.0,1.0,5.0,24.0,97.0,194.0,,710.0,1.0,711.0,298.0,91.0
08.04.2020,0.0,0.0,-1.0,0.0,5.0,20.0,84.0,142.0,,592.0,-1.0,591.0,242.0,100.0
09.04.2020,0.0,0.0,1.0,1.0,7.0,27.0,52.0,121.0,,492.0,0.0,492.0,215.0,68.0
10.04.2020,0.0,0.0,0.0,2.0,6.0,35.0,63.0,181.0,,709.0,1.0,710.0,304.0,118.0
11.04.2020,0.0,0.0,0.0,1.0,5.0,19.0,55.0,122.0,,553.0,-1.0,552.0,255.0,96.0
12.04.2020,0.0,0.0,0.0,0.0,3.0,12.0,43.0,127.0,,450.0,0.0,450.0,176.0,89.0
13.04.2020,0.0,0.0,0.0,0.0,3.0,8.0,24.0,78.0,,275.0,0.0,275.0,88.0,74.0
15.04.2020,0.0,0.0,0.0,0.0,3.0,34.0,100.0,200.0,,867.0,0.0,867.0,356.0,174.0
16.04.2020,0.0,0.0,0.0,1.0,5.0,10.0,42.0,129.0,,487.0,1.0,488.0,180.0,120.0
17.04.2020,1.0,0.0,0.0,1.0,2.0,20.0,46.0,130.0,,536.0,-1.0,535.0,242.0,94.0
20.04.2020,0.0,0.0,0.0,4.0,4.0,23.0,88.0,199.0,,1020.0,0.0,1020.0,438.0,264.0
22.04.2020,0.0,0.0,0.0,2.0,13.0,43.0,97.0,215.0,,1034.0,1.0,1035.0,421.0,243.0
23.04.2020,0.0,0.0,0.0,1.0,6.0,19.0,61.0,135.0,,604.0,-2.0,602.0,225.0,157.0
24.04.2020,0.0,0.0,0.0,1.0,10.0,9.0,36.0,69.0,,388.0,0.0,388.0,148.0,115.0
27.04.2020,0.0,0.0,1.0,0.0,10.0,33.0,96.0,240.0,,1204.0,0.0,1204.0,506.0,318.0
28.04.2020,0.0,0.0,0.0,0.0,1.0,15.0,19.0,100.0,,435.0,0.0,435.0,191.0,109.0
29.04.2020,0.0,0.0,0.0,1.0,0.0,5.0,29.0,36.0,,237.0,0.0,237.0,110.0,56.0
01.05.2020,0.0,0.0,1.0,1.0,7.0,17.0,66.0,144.0,,597.0,0.0,597.0,239.0,122.0
04.05.2020,0.0,0.0,0.0,0.0,4.0,20.0,69.0,154.0,,843.0,0.0,843.0,369.0,227.0
06.05.2020,1.0,0.0,1.0,2.0,7.0,12.0,44.0,113.0,,510.0,0.0,510.0,203.0,127.0
07.05.2020,0.0,0.0,-1.0,1.0,4.0,21.0,41.0,111.0,,553.0,0.0,553.0,233.0,143.0
08.05.2020,0.0,0.0,0.0,1.0,2.0,12.0,13.0,63.0,,319.0,0.0,319.0,148.0,80.0
11.05.2020,0.0,0.0,0.0,3.0,4.0,22.0,54.0,146.0,,629.0,0.0,629.0,254.0,146.0
13.05.2020,0.0,0.0,2.0,0.0,5.0,24.0,64.0,138.0,,622.0,0.0,622.0,248.0,141.0
14.05.2020,0.0,0.0,1.0,1.0,1.0,12.0,20.0,25.0,,166.0,0.0,166.0,59.0,47.0
15.05.2020,0.0,0.0,0.0,1.0,1.0,6.0,8.0,37.0,,192.0,1.0,193.0,82.0,57.0
18.05.2020,1.0,0.0,0.0,0.0,3.0,12.0,39.0,79.0,,449.0,-1.0,448.0,201.0,114.0
21.05.2020,0.0,0.0,1.0,1.0,7.0,21.0,51.0,129.0,,764.0,0.0,764.0,342.0,212.0
22.05.2020,0.0,0.0,0.0,0.0,0.0,3.0,8.0,21.0,,152.0,0.0,152.0,63.0,57.0
25.05.2020,0.0,0.0,-1.0,1.0,3.0,-2.0,16.0,49.0,,298.0,0.0,298.0,134.0,98.0
27.05.2020,0.0,0.0,0.0,0.0,2.0,7.0,13.0,34.0,,176.0,0.0,176.0,69.0,51.0
28.05.2020,0.0,0.0,1.0,0.0,3.0,4.0,10.0,17.0,,129.0,0.0,129.0,46.0,48.0
29.05.2020,0.0,0.0,0.0,0.0,0.0,4.0,9.0,9.0,,85.0,0.0,85.0,37.0,26.0
01.06.2020,0.0,0.0,1.0,1.0,1.0,10.0,17.0,58.0,,299.0,0.0,299.0,116.0,95.0
03.06.2020,1.0,0.0,1.0,0.0,1.0,5.0,9.0,23.0,,118.0,1.0,119.0,39.0,39.0
04.06.2020,0.0,0.0,0.0,1.0,2.0,2.0,10.0,14.0,,95.0,-1.0,94.0,35.0,31.0
08.06.2020,-1.0,0.0,0.0,0.0,1.0,6.0,18.0,47.0,,274.0,0.0,274.0,116.0,87.0
09.06.2020,0.0,0.0,0.0,0.0,0.0,2.0,7.0,22.0,,103.0,0.0,103.0,43.0,29.0
10.06.2020,0.0,0.0,0.0,0.0,-1.0,1.0,2.0,8.0,,42.0,0.0,42.0,18.0,14.0
11.06.2020,0.0,0.0,0.0,0.0,2.0,4.0,6.0,16.0,,71.0,0.0,71.0,25.0,18.0
15.06.2020,0.0,0.0,0.0,1.0,3.0,9.0,15.0,39.0,,230.0,0.0,230.0,98.0,65.0
16.06.2020,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.0,,41.0,0.0,41.0,20.0,10.0
18.06.2020,0.0,0.0,0.0,0.0,1.0,5.0,10.0,16.0,,100.0,0.0,100.0,40.0,28.0
19.06.2020,0.0,0.0,1.0,0.0,2.0,2.0,7.0,12.0,,60.0,0.0,60.0,23.0,13.0
22.06.2020,0.0,0.0,0.0,1.0,2.0,2.0,11.0,16.0,,129.0,0.0,129.0,51.0,46.0
23.06.2020,0.0,0.0,0.0,0.0,1.0,2.0,2.0,5.0,,44.0,0.0,44.0,16.0,18.0
25.06.2020,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,1.0,,-10.0,0.0,-10.0,-10.0,-2.0
30.06.2020,0.0,0.0,0.0,0.0,4.0,5.0,12.0,29.0,,204.0,0.0,204.0,84.0,70.0
07.07.2020,0.0,0.0,0.0,0.0,2.0,2.0,12.0,42.0,,214.0,1.0,215.0,88.0,68.0
09.07.2020,0.0,0.0,0.0,0.0,1.0,8.0,9.0,18.0,,76.0,-1.0,75.0,26.0,14.0
14.07.2020,0.0,0.0,0.0,0.0,1.0,3.0,-1.0,-2.0,,40.0,0.0,40.0,20.0,19.0
22.07.2020,0.0,0.0,0.0,0.0,3.0,-1.0,2.0,22.0,,76.0,0.0,76.0,22.0,28.0
28.07.2020,0.0,0.0,0.0,0.0,0.0,2.0,7.0,10.0,,69.0,0.0,69.0,32.0,18.0
04.08.2020,0.0,0.0,0.0,1.0,3.0,2.0,8.0,18.0,,109.0,0.0,109.0,50.0,27.0
11.08.2020,0.0,0.0,0.0,0.0,7.0,43.0,134.0,268.0,,1324.0,0.0,1324.0,579.0,293.0
18.08.2020,0.0,0.0,0.0,0.0,0.0,8.0,10.0,50.0,,199.0,0.0,199.0,78.0,53.0
25.08.2020,0.0,0.0,0.0,1.0,-1.0,4.0,2.0,17.0,,69.0,0.0,69.0,33.0,13.0
01.09.2020,0.0,0.0,-1.0,0.0,0.0,-4.0,-23.0,-54.0,,-350.0,0.0,-350.0,-166.0,-102.0
07.09.2020,0.0,0.0,1.0,0.0,2.0,5.0,26.0,62.0,,395.0,0.0,395.0,182.0,117.0
08.09.2020,0.0,0.0,-1.0,0.0,-2.0,-4.0,-25.0,-61.0,,-389.0,1.0,-388.0,-179.0,-117.0
15.09.2020,0.0,0.0,0.0,0.0,1.0,3.0,3.0,22.0,,72.0,0.0,72.0,29.0,14.0
22.09.2020,0.0,0.0,0.0,1.0,1.0,3.0,13.0,18.0,,86.0,0.0,86.0,31.0,19.0
